survey_word,cdi_word,word,variant,pair,question,type,cogsci,search_dictionary
choochoo,choo choo,choo choo,CDL,choochoo_train,train_child,onomatopoeia,n,NA
train,train,train,ADL,choochoo_train,train_child,onomatopoeia,n,NA
vroomvroom,vroom,vroom,CDL,vroomvroom_car,car_child,onomatopoeia,n,NA
car,car,car,ADL,vroomvroom_car,car_child,onomatopoeia,n,NA
quackquack,quack quack,quack quack,CDL,quackquack_duck,duck_child,onomatopoeia,n,NA
duck,duck,duck,ADL,quackquack_duck,duck_child,onomatopoeia,n,NA
baabaa,baa baa,baa baa,CDL,baabaa_sheep,sheep_child,onomatopoeia,n,NA
sheep,sheep,sheep,ADL,baabaa_sheep,sheep_child,onomatopoeia,n,NA
woofwoof,woof woof,woof woof,CDL,woofwoof_dog,dog_child,onomatopoeia,n,NA
dog,dog,dog,ADL,woofwoof_dog,dog_child,onomatopoeia,n,NA
cockadoodledoo,cockadoodledoo,cockadoodledoo,CDL,cockadoodledoo_rooster,rooster_child,onomatopoeia,n,NA
rooster,rooster,rooster,ADL,cockadoodledoo_rooster,rooster_child,onomatopoeia,n,NA
kitty,kitty,kitty,CDL,kitty_cat,cat_child,other,y, kitty | kitty's | kitties | kitties' 
cat,cat,cat,ADL,kitty_cat,cat_child,other,y, cat | cat's | cats | cats' 
bunny,bunny,bunny,CDL,bunny_rabbit,rabbit_child,other,y, bunny | bunny's | bunnies | bunnies' 
rabbit,rabbit,rabbit,ADL,bunny_rabbit,rabbit_child,other,y, rabbit | rabbit's | rabbits | rabbits' 
froggy,froggy,froggy,CDL,froggy_frog,frog_child,diminutive,y, froggy | froggie | froggy's | froggie's | froggies | froggies' 
frog,frog,frog,ADL,froggy_frog,frog_child,diminutive,y, frog | frog's | frogs | frogs' 
horsey,horsey,horsey,CDL,horsey_horse,horse_child,diminutive,y, horsey | horsie | horsey's | horsie's | horseys | horsies | horseys' | horsies' 
horse,horse,horse,ADL,horsey_horse,horse_child,diminutive,y, horse | horse's | horses | horses' 
piggy,piggy,piggy,CDL,piggy_pig,pig_child,diminutive,y, piggy | piggie | piggy's | piggie's | piggies | piggies' 
pig,pig,pig,ADL,piggy_pig,pig_child,diminutive,y, pig | pig's | pigs | pigs' 
fishy,fishy (animal),fishy,CDL,fishy_fish,fish_child,diminutive,n, fishy | fishie | fishy's | fishie's | fishies | fishies' 
fish,fish,fish,ADL,fishy_fish,fish_child,diminutive,n, fish | fish's 
mousey,mousey (animal),mousey,CDL,mousey_mouse,mouse_child,diminutive,n, mousey | mousie | mousey's | mousie's | mouseys | mousies | mouseys' | mousies' 
mouse,mouse,mouse,ADL,mousey_mouse,mouse_child,diminutive,n, mouse | mouse's | mice | mice's 
duckie,duckie,duckie,CDL,duckie_duck,duck_child2,diminutive,y, duckie | ducky | duckie's | ducky's | duckies | duckies' 
duck,duck,duck,ADL,duckie_duck,duck_child2,diminutive,y, duck | duck's | ducks | ducks' 
doggy,doggie,doggy,CDL,doggy_dog,dog_child2,diminutive,y, doggy | doggie | doggy's | doggie's | doggies | doggies' 
dog,dog,dog,ADL,doggy_dog,dog_child2,diminutive,y, dog | dog's | dogs | dogs' 
birdie,birdie,birdie,CDL,birdie_bird,bird_child,diminutive,y, birdie | birdy | birdie's | birdy's | birdies | birdies' 
