id,age,sex,pair,question,speaker,type,value
1,435,M,choochoo_train,train_caregiver,caregiver,onomatopoeia,100
1,435,M,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,100
1,435,M,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,100
1,435,M,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,100
1,435,M,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,100
1,435,M,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,100
1,435,M,kitty_cat,cat_caregiver,caregiver,other,50
1,435,M,bunny_rabbit,rabbit_caregiver,caregiver,other,0
1,435,M,froggy_frog,frog_caregiver,caregiver,diminutive,100
1,435,M,horsey_horse,horse_caregiver,caregiver,diminutive,50
1,435,M,piggy_pig,pig_caregiver,caregiver,diminutive,50
1,435,M,fishy_fish,fish_caregiver,caregiver,diminutive,50
1,435,M,mousey_mouse,mouse_caregiver,caregiver,diminutive,100
1,435,M,duckie_duck,duck_caregiver2,caregiver,diminutive,50
1,435,M,doggy_dog,dog_caregiver2,caregiver,diminutive,50
1,435,M,birdie_bird,bird_caregiver,caregiver,diminutive,100
1,435,M,dolly_doll,doll_caregiver,caregiver,diminutive,100
1,435,M,teddy_bear,bear_caregiver,caregiver,other,100
1,435,M,blankie_blanket,blanket_caregiver,caregiver,diminutive,50
1,435,M,potty_bathroom,bathroom_caregiver,caregiver,other,50
1,435,M,tummy_stomach,stomach_caregiver,caregiver,other,0
1,435,M,mommy_mom,mom_caregiver,caregiver,diminutive,50
1,435,M,auntie_aunt,aunt_caregiver,caregiver,diminutive,0
1,435,M,nightnight_goodnight,goodnight_caregiver,caregiver,other,50
1,435,M,baabaa_sheep,sheep_child,child,onomatopoeia,0
1,435,M,mommy_mom,mom_child,child,diminutive,100
1,435,M,woofwoof_dog,dog_child,child,onomatopoeia,100
1,435,M,doggy_dog,dog_child2,child,diminutive,100
1,435,M,kitty_cat,cat_child,child,other,100
1,435,M,fishy_fish,fish_child,child,diminutive,100
1,435,M,quackquack_duck,duck_child,child,onomatopoeia,100
1,435,M,duckie_duck,duck_child2,child,diminutive,100
1,435,M,birdie_bird,bird_child,child,diminutive,100
2,455,F,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,100
2,455,F,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,100
2,455,F,doggy_dog,dog_caregiver2,caregiver,diminutive,50
2,455,F,dolly_doll,doll_caregiver,caregiver,diminutive,50
2,455,F,blankie_blanket,blanket_caregiver,caregiver,diminutive,50
2,455,F,potty_bathroom,bathroom_caregiver,caregiver,other,25
2,455,F,tummy_stomach,stomach_caregiver,caregiver,other,25
2,455,F,mommy_mom,mom_caregiver,caregiver,diminutive,50
2,455,F,daddy_dad,dad_caregiver,caregiver,diminutive,50
2,455,F,nightnight_goodnight,goodnight_caregiver,caregiver,other,25
2,455,F,mommy_mom,mom_child,child,diminutive,0
2,455,F,daddy_dad,dad_child,child,diminutive,0
2,455,F,woofwoof_dog,dog_child,child,onomatopoeia,100
2,455,F,doggy_dog,dog_child2,child,diminutive,100
2,455,F,nightnight_goodnight,goodnight_child,child,other,0
2,455,F,potty_bathroom,bathroom_child,child,other,0
3,472,F,choochoo_train,train_caregiver,caregiver,onomatopoeia,100
3,472,F,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,100
3,472,F,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,100
3,472,F,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,100
3,472,F,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,100
3,472,F,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,100
3,472,F,kitty_cat,cat_caregiver,caregiver,other,50
3,472,F,bunny_rabbit,rabbit_caregiver,caregiver,other,50
3,472,F,froggy_frog,frog_caregiver,caregiver,diminutive,100
3,472,F,horsey_horse,horse_caregiver,caregiver,diminutive,70
3,472,F,piggy_pig,pig_caregiver,caregiver,diminutive,70
3,472,F,fishy_fish,fish_caregiver,caregiver,diminutive,100
3,472,F,mousey_mouse,mouse_caregiver,caregiver,diminutive,100
3,472,F,duckie_duck,duck_caregiver2,caregiver,diminutive,50
3,472,F,doggy_dog,dog_caregiver2,caregiver,diminutive,50
3,472,F,birdie_bird,bird_caregiver,caregiver,diminutive,100
3,472,F,dolly_doll,doll_caregiver,caregiver,diminutive,0
3,472,F,teddy_bear,bear_caregiver,caregiver,other,100
3,472,F,blankie_blanket,blanket_caregiver,caregiver,diminutive,50
3,472,F,potty_bathroom,bathroom_caregiver,caregiver,other,100
3,472,F,tummy_stomach,stomach_caregiver,caregiver,other,0
3,472,F,mommy_mom,mom_caregiver,caregiver,diminutive,50
3,472,F,daddy_dad,dad_caregiver,caregiver,diminutive,50
3,472,F,nightnight_goodnight,goodnight_caregiver,caregiver,other,100
3,472,F,mommy_mom,mom_child,child,diminutive,0
3,472,F,daddy_dad,dad_child,child,diminutive,0
3,472,F,doggy_dog,dog_child2,child,diminutive,0
4,490,M,choochoo_train,train_caregiver,caregiver,onomatopoeia,82
4,490,M,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,82
4,490,M,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,85
