x,predicted,std.error,conf.low,conf.high,group,model
14.29,0.5226527148687415,0.004386370930919833,0.5205074396093541,0.5247971547184936,1,child-full
14.95,0.5264142569634601,0.004320907642477751,0.5243025001577533,0.5285250691959305,1,child-full
15.51,0.5296035358175278,0.004265617849420784,0.5275202448488358,0.5316857958221131,1,child-full
16.1,0.5329610507958357,0.00420762991488974,0.5309077631094554,0.5350132225290309,1,child-full
16.33,0.5342691210959476,0.004185100157693096,0.5322275302245567,0.5363095645243203,1,child-full
17.48,0.5408020500607059,0.00407311858120381,0.5388189136283709,0.5427838949883951,1,child-full
17.77,0.542447361697446,0.004045062374199799,0.54047895025416,0.5444144487336635,1,child-full
18.07,0.5441484339651423,0.004016119368363581,0.5421952450809299,0.5461002658141697,1,child-full
18.2,0.544885247881943,0.004003603314191965,0.5429386517542403,0.5468304732748233,1,child-full
19.06,0.5497544569477745,0.00392121199253365,0.5478514053855499,0.5516560536782101,1,child-full
19.52,0.5523550706028495,0.0038774430107672356,0.5504752505867626,0.5542333953349677,1,child-full
20.99,0.5606458687586442,0.0037390776396273944,0.5588399133145984,0.5624502196428994,1,child-full
21.22,0.5619401321704608,0.0037176474110360304,0.5601456715359231,0.563732973776609,1,child-full
21.29,0.5623338719959371,0.003711137441975989,0.5605429059694902,0.5641232147260773,1,child-full
21.82,0.5653124631684695,0.0036620374602238325,0.5635478951963665,0.5670753775426385,1,child-full
23.23,0.5732131576866064,0.0035331311494663548,0.5715182208302793,0.5749063767981168,1,child-full
23.33,0.5737721234875872,0.0035240887314877912,0.5720820879206732,0.5754604376216518,1,child-full
23.43,0.5743309008520683,0.003515060092295621,0.5726457612271049,0.576014315465241,1,child-full
23.95,0.5772334528959264,0.0034683374388937466,0.5755736827779512,0.5788914811139829,1,child-full
24.25,0.5789055930550865,0.003441558856093645,0.5772603878477817,0.5805490478982145,1,child-full
24.48,0.580186344593922,0.0034211186186918923,0.5785522686759196,0.5818186642722102,1,child-full
25.23,0.5843551263887793,0.0033550267520514425,0.5827571043369375,0.5859513765948201,1,child-full
25.43,0.5854647917492563,0.003337551815225113,0.5838763195021125,0.5870514888724059,1,child-full
26.74,0.5927111921439712,0.0032247431748001734,0.5911845335075604,0.5942360626817559,1,child-full
28.58,0.6028209525294252,0.0030715865558799296,0.6013786607836723,0.604261459820474,1,child-full
28.95,0.6048436331339294,0.003041607668205444,0.6034179151660339,0.6062675700181493,1,child-full
29.37,0.6071353035624082,0.003007933618189153,0.6057282262445515,0.6085406045593642,1,child-full
30.23,0.6118129828543081,0.0029402161811034767,0.6104434710715723,0.6131807308976739,1,child-full
30.42,0.6128436839327756,0.0029254878907205317,0.6114823572391236,0.614203250135025,1,child-full
31.38,0.6180358314449236,0.002852428335865175,0.6167151907834802,0.6193547302845291,1,child-full
32,0.6213749045186786,0.0028065057895439627,0.620079915479422,0.6226681655406886,1,child-full
32.43,0.623683996902214,0.002775269165550876,0.6224064945845348,0.6249597814489471,1,child-full
32.82,0.6257734444023286,0.002747388947379388,0.6245115786589894,0.6270336020772688,1,child-full
32.99,0.6266827688434627,0.0027353736709637222,0.6254276508241151,0.6279361831320721,1,child-full
33.38,0.6287654767752039,0.0027081328026476326,0.6275256785769711,0.6300035814128344,1,child-full
33.61,0.6299915063925164,0.0026922832841050817,0.6287606362820538,0.6312206890672502,1,child-full
34.46,0.6345078542217188,0.0026351500659211927,0.6333092678366755,0.6357047764361184,1,child-full
35.12,0.6379984656762061,0.0025924225059265854,0.6368241425622155,0.6391711431291399,1,child-full
36.27,0.64404576848376,0.002521619501575623,0.6429119410963837,0.6451779826454254,1,child-full
36.3,0.6442029205705241,0.0025198372962025894,0.6430701181063919,0.64533411064963,1,child-full
37.09,0.6483299936008661,0.0024741486598110957,0.6472235813689031,0.6494348153217341,1,child-full
37.82,0.652124033056513,0.002434136243729488,0.6510409491860045,0.6532055459602905,1,child-full
38.08,0.6534707156541442,0.0024204178577763025,0.6523956870960227,0.6545441799950334,1,child-full
38.87,0.6575474338355666,0.0023805191074895283,0.6564960389926427,0.6585972841105152,1,child-full
39.23,0.659397536988185,0.002363254577870547,0.6583564819504814,0.6604370559149264,1,child-full
39.72,0.6619079379488125,0.0023407095717035715,0.66088051294372685,0.6629338377754445,1,child-full
40.35,0.665122230354737,0.0023133864671532273,0.6641115621743479,0.6661313863162925,1,child-full
40.61,0.6664443321311899,0.002302670018256265,0.6654403230924534,0.6674468339050623,1,child-full
42.09,0.6739199260962088,0.002248161997861008,0.6729508887920327,0.6748874793039129,1,child-full
42.38,0.6753745797381696,0.0022388188234225472,0.67441179784044325,0.6763358809708672,1,child-full
42.55,0.67622573880618,0.0022335515514461542,0.6752665313062706,0.6771834674688835,1,child-full
43.2,0.679469396143281,0.002214863539655713,0.6785232193992004,0.6804140997310557,1,child-full
44.39,0.6853629356839787,0.0021867631767894034,0.6844379716618348,0.6862864311788346,1,child-full
44.55,0.6861508639082092,0.002183601440847755,0.68522848898856,0.6870717703159247,1,child-full
44.75,0.6871342665308935,0.0021798578527026324,0.6862150399438478,0.6880520244134956,1,child-full
47.05,0.6983211360784165,0.002153785493791914,0.6974310875231358,0.6992096956183982,1,child-full
48.13,0.7034949672703597,0.0021525018541786894,0.702614208348965,0.7043742152107134,1,child-full
48.3,0.7043046766120946,0.0021529423693918918,0.7034251288123429,0.7051827092000006,1,child-full
48.66,0.7060151119107287,0.002154451529159129,0.7051379068137966,0.7068907921238506,1,child-full
49.58,0.710359862159959,0.0021618524628313255,0.7094872968895423,0.7112308733360874,1,child-full
50.43,0.7143400395207511,0.0021731793621332512,0.7134700900237154,0.7152084020283271,1,child-full
50.89,0.7164802756035468,0.0021810839969755276,0.715611096196845,0.7173478477882852,1,child-full
51.52,0.7193956883830253,0.0021939022330559636,0.7185268544658138,0.7202628845411218,1,child-full
52.24,0.722705100786058,0.0022113238749967017,0.7218356957279247,0.7235728291143356,1,child-full
52.27,0.7228424698202133,0.002212113014306313,0.7219730193043096,0.7237102418871117,1,child-full
53.06,0.7264447120289991,0.002234681234946567,0.725573464402299,0.7273142331570407,1,child-full
53.32,0.7276238557294324,0.0022428515943991186,0.7267517709544068,0.7284941970120423,1,child-full
54.05,0.7309174774825397,0.0022677095658335247,0.7300424239784773,0.7317907366219261,1,child-full
54.67,0.7336949553892238,0.00229098938935814,0.7328166989734517,0.7345713705428862,1,child-full
57.07,0.7442728335900072,0.00239870995263887,0.7433769881233031,0.7451666238058976,1,child-full
57.1,0.7444032969192977,0.0024002235931400544,0.7435071852220791,0.745297350361672,1,child-full
57.56,0.7463982557345685,0.002423919792489144,0.74549793542354,0.7472964707062351,1,child-full
58.58,0.7507850492524124,0.002479621037792215,0.7498746080575837,0.7516932738484682,1,child-full
58.68,0.7512123873424703,0.0024853081281131363,0.7503008998164614,0.7521216468533526,1,child-full
58.78,0.751639235062268,0.0024910345018182693,0.7507266921472205,0.7525495384550719,1,child-full
58.94,0.7523211707733718,0.0025002777347930844,0.7514069207585435,0.7532331626658413,1,child-full
59.99,0.7567651312196245,0.0025633370950161405,0.7558391536923806,0.7576887228069097,1,child-full
60.29,0.758024849968263,0.002582092377840791,0.757095368729718,0.7589519069179754,1,child-full
61.04,0.7611546704531617,0.0026303448711807492,0.7602161697580821,0.7620906474472657,1,child-full
61.83,0.7644212494537171,0.0026831849013741966,0.7634728945470595,0.7653669705079558,1,child-full
62.65,0.7677790460032609,0.00274009108133606,0.7668201429217724,0.7687351950511355,1,child-full
62.92,0.7688773283285364,0.002759266020317907,0.7679148916237238,0.7698369701356702,1,child-full
63.9,0.7728331002699135,0.002830590422198825,0.7718576331466852,0.7738056188544294,1,child-full
64.82,0.7765029608283659,0.0028998765863269354,0.7755150349158944,0.7774877864772517,1,child-full
64.89,0.7767804536133397,0.002905235999839924,0.775791573041606,0.7777662220841651,1,child-full
66.83,0.7843731535332796,0.0030583349455173174,0.7833576105342973,0.7853852402509796,1,child-full
66.89,0.7846049668274713,0.0030632030037562622,0.7835885964105522,0.7856178698311141,1,child-full
66.99,0.7849909204213863,0.0030713332010524745,0.7839731710479709,0.7860051837644866,1,child-full
67.02,0.7851066085339665,0.0030737763266376677,0.7840884455008384,0.7861212799361657,1,child-full
67.45,0.7867598357770414,0.0031089976676505174,0.7857357463774838,0.7877803524883552,1,child-full
69.65,0.7950728426526957,0.0032947456473186323,0.7940186906792163,0.7961229849971065,1,child-full
70.44,0.7979986473466264,0.003363515330151831,0.7969338906569061,0.7990592287885401,1,child-full
71.06,0.8002729171603913,0.003418182453699565,0.7991999379059673,0.8013415881101293,1,child-full
71.29,0.8011116969200145,0.003438611308490176,0.8000356924366847,0.8021833430664839,1,child-full
71.49,0.801838915875196,0.003456439358856789,0.8007602925051377,0.8029131371109584,1,child-full
72.41,0.8051583270695907,0.0035391870708592114,0.8040678079459544,0.8062442391738135,1,child-full
72.64,0.8059815640444057,0.003560057147416605,0.8048881123118352,0.8070703566779666,1,child-full
73.27,0.8082229835146646,0.003617581438124676,0.807121590074885,0.8093195734961915,1,child-full
73.33,0.8084354186483481,0.0036230866956273224,0.8073332760551956,0.8095327439064339,1,child-full
73.79,0.8100581232481916,0.0036654437991781538,0.8089502803949445,0.8111610416512703,1,child-full
74.61,0.8129246303106027,0.0037415869214147373,0.8118068237996026,0.8140373183194305,1,child-full
76.32,0.8187949376199446,0.0039028111947332347,0.8176572334732846,0.8199271065260338,1,child-full
76.68,0.8200123533788147,0.003937144067629466,0.8188706215307854,0.8211484602988599,1,child-full
77.77,0.8236594737465734,0.004041863770259986,0.8225059081976793,0.8248071389697351,1,child-full
79.05,0.8278678809124217,0.004166217353385525,0.8267011389501078,0.8290283922709611,1,child-full
79.74,0.8301032772677195,0.004233826676568643,0.8289297665274334,0.8312703765386887,1,child-full
80.17,0.8314846362076651,0.004276152552332964,0.8303070283288417,0.8326557189746218,1,child-full
80.36,0.8320921455127924,0.00429490036399852,0.830912757203412,0.8332649582784805,1,child-full
80.53,0.832634223508191,0.004311698025120407,0.8314532578239867,0.8338085684154225,1,child-full
81.28,0.8350090593150893,0.0043860615100059725,0.8338213123006774,0.8361899848009087,1,child-full
81.84,0.8367645817564662,0.004441849584057346,0.8355719619439754,0.8379502289454543,1,child-full
82.04,0.8373879000821054,0.004461826621554242,0.8361935797959966,0.838575193547931,1,child-full
82.5,0.8388142521299802,0.0045078762733504925,0.8376161007226995,0.8400052516196257,1,child-full
82.73,0.8395236297346885,0.004530953607507811,0.8383236047218876,0.8407164400575596,1,child-full
83.02,0.8404144605605519,0.004560099934646967,0.83921211318787,0.841609513892416,1,child-full
14.29,0.4633948041899399,0.005488347231834407,0.46072105575065253,0.466070659072644,1,child-cogsci
14.95,0.46656669100874654,0.005408499107602369,0.4639293835751178,0.4692058684563275,1,child-cogsci
15.51,0.4692601205408952,0.005341034938212722,0.4666538158576923,0.4718681031263545,1,child-cogsci
16.33,0.4732072604954638,0.005242743600729053,0.4706464672238243,0.4757694641729752,1,child-cogsci
17.48,0.4787484191894454,0.005105946818710833,0.47625162273580823,0.48124627787048624,1,child-cogsci
17.77,0.4801466348655733,0.005071654215826756,0.47766599795177617,0.48262825106006574,1,child-cogsci
18.07,0.4815933919530178,0.005036269103464953,0.47912947740723,0.4840582019910058,1,child-cogsci
18.2,0.48222041731249016,0.005020964457522089,0.47976375044360015,0.4846779439974433,1,child-cogsci
19.06,0.4863697488405655,0.004920172120427295,0.48396103565275866,0.4887790953160729,1,child-cogsci
19.52,0.48858996667609533,0.004866594860298862,0.4862068982235916,0.4909735538936202,1,child-cogsci
20.99,0.4956875995294052,0.004697053573100137,0.4933863643856068,0.49798901739815604,1,child-cogsci
21.22,0.496798343596421,0.004670769577482719,0.4945098854541128,0.4990869358897314,1,child-cogsci
21.29,0.49713640291587907,0.004662783712873342,0.49485183150815376,0.4994210939007959,1,child-cogsci
21.82,0.49969605789497373,0.004602529675947413,0.4974408821037341,0.5019512460526392,1,child-cogsci
23.23,0.5065054220852209,0.004444133432049575,0.5043280957331858,0.5086825016988065,1,child-cogsci
23.33,0.5069882937803059,0.004433010098882513,0.5048164648552614,0.509159858984496,1,child-cogsci
23.43,0.5074711524377877,0.004421901988916497,0.5053048173282813,0.5096372070235696,1,child-cogsci
23.95,0.5099817724583778,0.0043643897055971334,0.5078439435862827,0.5121192362887674,1,child-cogsci
24.25,0.5114299861959564,0.004331404689979172,0.5093085528814454,0.5135510078518674,1,child-cogsci
24.48,0.5125401547459293,0.0043062154745391185,0.5104312644918934,0.5146485986431413,1,child-cogsci
25.23,0.5161593529388938,0.00422469527340354,0.5140911875601519,0.5182269649393437,1,child-cogsci
25.43,0.517124201937435,0.004203121328854262,0.5150668474247438,0.5191809760790362,1,child-cogsci
26.74,0.5234404782639024,0.004063630166454682,0.5214533517721107,0.5254268629316997,1,child-cogsci
28.58,0.5322990915032314,0.0038735182138689107,0.530408568120494,0.5341886879548086,1,child-cogsci
28.95,0.5340781671652597,0.0038361876257954316,0.5322067308056062,0.5359486447516606,1,child-cogsci
29.37,0.536096605966476,0.003794202621351914,0.53424668228987,0.5379455367551732,1,child-cogsci
30.23,0.5402258406240301,0.0037095854726313425,0.5384194215584401,0.5420312033630731,1,child-cogsci
30.42,0.541137389092404,0.003691145654272893,0.5393404768719453,0.5429332320813943,1,child-cogsci
31.38,0.5457387750311248,0.0035994616637256486,0.5439892728783521,0.547487148498948,1,child-cogsci
32,0.5487064065999542,0.003541630031912458,0.5469869326736133,0.5504247182365335,1,child-cogsci
32.43,0.5507625828391458,0.003502191688038008,0.5490636429977976,0.5524603391302296,1,child-cogsci
32.82,0.5526259897193373,0.003466915212614383,0.5509454567939104,0.5543053211782661,1,child-cogsci
32.99,0.553437784756892,0.0034516889190996064,0.5517652086239511,0.5551091520035643,1,child-cogsci
33.38,0.5552990547467203,0.0034171121820476243,0.5536445745776526,0.5569523098648178,1,child-cogsci
33.61,0.556396003326518,0.0033969567878184416,0.5547520894559245,0.5580386831525155,1,child-cogsci
34.46,0.5604450938880899,0.0033240474531415457,0.5588395172810567,0.5620494064433482,1,child-cogsci
35.12,0.5635835823994374,0.003269226472083058,0.5620069588858296,0.5651589217573026,1,child-cogsci
36.27,0.5690398697095059,0.003177704945601662,0.5675118574791933,0.5705665684390137,1,child-cogsci
36.3,0.5691819894852316,0.0031753886142442383,0.5676552125026235,0.5707074522865849,1,child-cogsci
37.09,0.5729203074045657,0.0031157584584837407,0.5714254247627806,0.5744138592770969,1,child-cogsci
37.82,0.5763673233045432,0.0030630864711141425,0.5749007829959147,0.5778325194916164,1,child-cogsci
38.08,0.5775932529360612,0.0030449140832337893,0.5761365333556064,0.579048624017308,1,child-cogsci
38.87,0.5813122728505687,0.0029916699163989816,0.5798844729236148,0.5827387119378561,1,child-cogsci
39.23,0.5830039824328953,0.00296842238838956,0.5815888868624173,0.5844177119188085,1,child-cogsci
39.72,0.585303443324197,0.002937838733049592,0.583905145372829,0.5867003683156499,1,child-cogsci
40.35,0.5882544277180884,0.002900367461357712,0.586876862957735,0.5896306109474181,1,child-cogsci
